ministry,sector,state,region,implementing_agency,project_type,primary_bottleneck,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,remaining_planned_months,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,expenditure_per_progress_point,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,milestone_completion_rate
Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,Central,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,1534.95,57.0,18.0,0.3158,39.0,1686.29,100.0,109.86,9.86,16.86,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,405.65,34.0,18.0,0.5294,16.0,496.58,100.0,122.42,22.42,4.97,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,LAND_ACQUISITION,358.97,43.0,18.0,0.4186,25.0,474.81,100.0,132.27,32.27,4.75,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,PROCUREMENT,1659.77,52.0,18.0,0.3462,34.0,1819.64,92.15,109.63,17.48,19.75,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Greenfield Construction,UTILITY_SHIFTING,150.0,61.0,18.0,0.2951,43.0,161.28,100.0,107.52,7.52,1.61,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,2664.23,72.0,18.0,0.25,54.0,2800.11,100.0,105.1,5.1,28.0,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Corridor Modernization,NONE,4812.86,57.0,18.0,0.3158,39.0,3066.41,49.98,63.71,13.73,61.35,10,4,4,0,0.4,0.4
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,FOREST_CLEARANCE,2718.68,26.0,18.0,0.6923,8.0,3412.47,100.0,125.52,25.52,34.12,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Andhra Pradesh,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,NONE,1327.58,49.0,18.0,0.3673,31.0,1479.03,100.0,111.41,11.41,14.79,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,1582.61,45.0,18.0,0.4,27.0,2021.66,100.0,127.74,27.74,20.22,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,1483.57,24.0,18.0,0.75,6.0,2042.63,100.0,137.68,37.68,20.43,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,570.81,30.0,18.0,0.6,12.0,590.89,100.0,103.52,3.52,5.91,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LEGAL_DISPUTE,1961.23,56.0,18.0,0.3214,38.0,2439.98,90.84,124.41,33.57,26.86,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Greenfield Construction,NONE,264.67,41.0,18.0,0.439,23.0,270.86,87.12,102.34,15.22,3.11,10,8,8,0,0.8,0.8
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,1175.34,43.0,18.0,0.4186,25.0,1213.84,100.0,103.28,3.28,12.14,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Corridor Modernization,PROCUREMENT,866.41,69.0,18.0,0.2609,51.0,968.29,94.21,111.76,17.55,10.28,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1495.58,27.0,18.0,0.6667,9.0,1782.5,100.0,119.18,19.18,17.82,10,10,9,0,0.9,1.0
