project_id,ministry,sector,state,region,implementing_agency,project_type,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,primary_bottleneck,target_schedule_delay_months,target_cost_overrun_pct,target_risk_class
PRJ-SYN-000001,Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,2957.34,61,50,0.5741,2433.06,63.79,82.27,0.78,10,6,7,0,0.7,LAND_ACQUISITION,26,27.41,CRITICAL
PRJ-SYN-000002,Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,339.96,47,30,0.4611,236.55,47.08,69.58,8.0,10,4,5,0,0.5,ENVIRONMENTAL_CLEARANCE,18,26.32,HIGH
PRJ-SYN-000003,Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,456.57,26,96,1.0,581.4,100.0,127.34,-1.07,10,10,9,0,0.9,CONTRACTOR,11,28.72,MODERATE
PRJ-SYN-000004,Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,4631.39,70,89,1.0,4804.25,100.0,103.73,-2.53,10,10,9,0,0.9,NONE,11,6.42,LOW
PRJ-SYN-000005,Ministry of Civil Aviation,Civil Aviation,Andhra Pradesh,South,Airports Authority of India (AAI),Greenfield Construction,1959.74,60,96,1.0,2114.93,100.0,107.92,-1.42,10,10,9,0,0.9,DESIGN_CHANGE,9,9.47,LOW
PRJ-SYN-000006,Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,247.17,32,79,1.0,271.5,100.0,109.84,-1.02,10,10,7,0,0.7,FOREST_CLEARANCE,4,10.98,LOW
PRJ-SYN-000007,Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,150.0,29,51,1.0,183.07,100.0,122.05,-2.21,10,10,10,0,1.0,DESIGN_CHANGE,10,24.8,MODERATE
PRJ-SYN-000008,Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,387.42,67,50,0.6401,331.31,74.7,85.52,2.4,10,7,7,0,0.7,UTILITY_SHIFTING,11,10.92,LOW
PRJ-SYN-000009,Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,697.52,43,40,0.6548,715.19,71.64,102.53,11.21,10,6,7,0,0.7,ENVIRONMENTAL_CLEARANCE,18,23.76,HIGH
PRJ-SYN-000010,Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Corridor Modernization,3033.94,71,73,0.7369,2944.41,80.67,97.05,-2.46,10,7,8,0,0.8,LAND_ACQUISITION,28,24.08,CRITICAL
PRJ-SYN-000011,Ministry of Jal Shakti,Water Resources,Bihar,East,National Water Development Agency,Greenfield Construction,1963.15,39,28,0.6079,1539.86,71.74,78.44,1.21,10,6,5,0,0.5,NONE,7,7.52,LOW
PRJ-SYN-000012,Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,276.57,56,54,0.8177,284.09,91.58,102.72,-0.32,10,8,8,0,0.8,NONE,10,12.56,MODERATE
PRJ-SYN-000013,Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,1175.34,43,51,1.0,1213.84,100.0,103.28,-2.36,10,10,9,0,0.9,NONE,5,5.77,LOW
PRJ-SYN-000014,Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,174.16,39,57,1.0,192.44,100.0,110.5,-0.91,10,10,9,0,0.9,NONE,7,11.51,LOW
PRJ-SYN-000015,Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,1932.23,64,44,0.6562,1624.83,80.65,84.09,3.44,10,7,3,1,0.3,NONE,3,0.0,LOW
PRJ-SYN-000016,Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Corridor Modernization,3203.36,58,28,0.3632,1534.8,36.38,47.91,2.34,10,3,4,0,0.4,CONTRACTOR,19,23.73,MODERATE
PRJ-SYN-000017,Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,699.29,72,70,0.9083,697.21,96.39,99.7,-3.14,10,9,8,1,0.8,UTILITY_SHIFTING,5,6.92,LOW
PRJ-SYN-000018,Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,5449.52,48,41,0.6111,5360.19,71.02,98.36,4.29,10,6,7,0,0.7,LAND_ACQUISITION,19,30.61,HIGH
PRJ-SYN-000019,Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,297.78,63,35,0.4214,224.77,46.3,75.48,14.8,10,4,5,0,0.5,CONTRACTOR,20,23.53,HIGH
PRJ-SYN-000020,Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Corridor Modernization,1083.67,39,86,1.0,1364.22,100.0,125.89,-2.72,10,10,10,0,1.0,FOREST_CLEARANCE,16,29.41,HIGH
PRJ-SYN-000021,Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,369.62,42,42,0.7633,381.77,80.79,103.29,5.81,10,7,8,0,0.8,INTERDEPARTMENTAL_DEPENDENCY,13,19.27,MODERATE
PRJ-SYN-000022,Ministry of Housing & Urban Affairs,Urban Transit,Andhra Pradesh,South,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,1122.05,43,78,1.0,1142.91,100.0,101.86,-0.27,10,10,4,0,0.4,NONE,2,2.14,LOW
PRJ-SYN-000023,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,554.77,67,62,0.8263,508.02,88.12,91.57,0.54,10,8,8,0,0.8,NONE,8,3.29,LOW
PRJ-SYN-000024,Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,2355.56,38,98,1.0,2967.91,100.0,126.0,-1.59,10,10,10,0,1.0,LEGAL_DISPUTE,14,28.03,HIGH
PRJ-SYN-000025,Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Corridor Modernization,568.82,24,55,1.0,638.17,100.0,112.19,-1.35,10,10,8,0,0.8,FOREST_CLEARANCE,4,13.73,LOW
PRJ-SYN-000026,Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,915.89,39,56,1.0,1094.16,100.0,119.46,-0.2,10,10,9,0,0.9,LAND_ACQUISITION,9,19.7,MODERATE
