project_id,reporting_date,reporting_month,physical_progress_pct,cumulative_expenditure_cr
PRJ-SYN-000001,2024-10-07,32,37.34,1489.19
PRJ-SYN-000001,2024-11-06,33,38.74,1540.46
PRJ-SYN-000001,2024-12-06,34,40.16,1591.89
PRJ-SYN-000001,2025-01-05,35,41.58,1643.47
PRJ-SYN-000001,2025-02-04,36,43.01,1695.19
PRJ-SYN-000001,2025-03-06,37,44.45,1747.06
PRJ-SYN-000001,2025-04-05,38,45.89,1799.07
PRJ-SYN-000001,2025-05-05,39,47.34,1851.22
PRJ-SYN-000001,2025-06-04,40,48.8,1903.5
PRJ-SYN-000001,2025-07-04,41,50.27,1955.91
PRJ-SYN-000001,2025-08-03,42,51.75,2008.45
PRJ-SYN-000001,2025-09-02,43,53.23,2061.11
PRJ-SYN-000001,2025-10-02,44,54.72,2113.9
PRJ-SYN-000001,2025-11-01,45,56.21,2166.8
PRJ-SYN-000001,2025-12-01,46,57.72,2219.83
PRJ-SYN-000001,2025-12-31,47,59.23,2272.97
PRJ-SYN-000001,2026-01-30,48,60.74,2326.22
PRJ-SYN-000001,2026-03-01,49,62.26,2379.59
PRJ-SYN-000002,2024-10-07,12,15.68,86.34
PRJ-SYN-000002,2024-11-06,13,17.26,94.28
PRJ-SYN-000002,2024-12-06,14,18.86,102.29
PRJ-SYN-000002,2025-01-05,15,20.49,110.35
PRJ-SYN-000002,2025-02-04,16,22.14,118.47
PRJ-SYN-000002,2025-03-06,17,23.81,126.64
PRJ-SYN-000002,2025-04-05,18,25.5,134.86
PRJ-SYN-000002,2025-05-05,19,27.21,143.13
PRJ-SYN-000002,2025-06-04,20,28.94,151.43
PRJ-SYN-000002,2025-07-04,21,30.69,159.78
PRJ-SYN-000002,2025-08-03,22,32.45,168.17
PRJ-SYN-000002,2025-09-02,23,34.23,176.6
PRJ-SYN-000002,2025-10-02,24,36.02,185.06
PRJ-SYN-000002,2025-11-01,25,37.83,193.56
PRJ-SYN-000002,2025-12-01,26,39.65,202.1
PRJ-SYN-000002,2025-12-31,27,41.49,210.66
PRJ-SYN-000002,2026-01-30,28,43.34,219.26
PRJ-SYN-000002,2026-03-01,29,45.2,227.89
PRJ-SYN-000003,2024-10-07,78,77.94,462.68
PRJ-SYN-000003,2024-11-06,79,79.15,469.21
PRJ-SYN-000003,2024-12-06,80,80.35,475.75
PRJ-SYN-000003,2025-01-05,81,81.56,482.29
PRJ-SYN-000003,2025-02-04,82,82.77,488.85
PRJ-SYN-000003,2025-03-06,83,83.98,495.41
PRJ-SYN-000003,2025-04-05,84,85.19,501.98
PRJ-SYN-000003,2025-05-05,85,86.41,508.55
PRJ-SYN-000003,2025-06-04,86,87.63,515.14
PRJ-SYN-000003,2025-07-04,87,88.86,521.73
PRJ-SYN-000003,2025-08-03,88,90.09,528.33
PRJ-SYN-000003,2025-09-02,89,91.32,534.94
PRJ-SYN-000003,2025-10-02,90,92.55,541.56
PRJ-SYN-000003,2025-11-01,91,93.78,548.18
PRJ-SYN-000003,2025-12-01,92,95.02,554.81
PRJ-SYN-000003,2025-12-31,93,96.26,561.45
PRJ-SYN-000003,2026-01-30,94,97.51,568.09
PRJ-SYN-000003,2026-03-01,95,98.75,574.74
PRJ-SYN-000004,2024-10-07,71,76.25,3746.97
PRJ-SYN-000004,2024-11-06,72,77.54,3805.07
PRJ-SYN-000004,2024-12-06,73,78.84,3863.24
PRJ-SYN-000004,2025-01-05,74,80.13,3921.49
PRJ-SYN-000004,2025-02-04,75,81.43,3979.83
PRJ-SYN-000004,2025-03-06,76,82.74,4038.23
PRJ-SYN-000004,2025-04-05,77,84.05,4096.72
PRJ-SYN-000004,2025-05-05,78,85.36,4155.28
PRJ-SYN-000004,2025-06-04,79,86.67,4213.92
PRJ-SYN-000004,2025-07-04,80,87.99,4272.63
PRJ-SYN-000004,2025-08-03,81,89.31,4331.42
