project_id,project_name,ministry,department,sector,sub_sector,state,region,implementing_agency,project_type,project_status,project_stage,original_cost_cr,revised_cost_cr,cost_overrun_cr,cost_growth_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,progress_decoupling_gap,start_date,planned_completion_date,revised_completion_date,planned_duration_months,revised_duration_months,schedule_slippage_months,schedule_revisions_count,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,primary_bottleneck,secondary_bottleneck,target_schedule_delay_months,target_cost_overrun_pct,target_risk_class,overall_risk_score,data_source,data_status
PRJ-SYN-000001,Secunderabad-Mahabubnagar Doubling — Civil Package 1 (Underground Tunnel),Ministry of Railways,Project Development Directorate,Railways,Freight Corridors,Gujarat,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,CRITICAL,Execution,2957.34,3767.95,810.61,27.41,2433.06,63.79,64.57,0.78,2022-02-01,2027-03-01,2029-05-01,61,87,26,4,10,6,7,0,0.7,LAND_ACQUISITION,CONTRACTOR,26,27.41,CRITICAL,66.4,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000002,Varanasi-Ranchi-Kolkata Expressway — Section I (Km 0.00 to 45.50),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Economic Arteries,Rajasthan,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DELAYED,Execution,339.96,429.44,89.48,26.32,236.55,47.08,55.08,8.0,2023-10-01,2027-09-01,2029-03-01,47,65,18,3,10,4,5,0,0.5,ENVIRONMENTAL_CLEARANCE,NONE,18,26.32,HIGH,57.8,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000003,Delhi-Mumbai Expressway — Reach 2 (Ch. 24+000 to 68+500),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,National Corridors,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,COMPLETED,Commissioned,456.57,587.7,131.13,28.72,581.4,100.0,98.93,-1.07,2018-04-01,2020-06-01,2021-05-01,26,37,11,2,10,10,9,0,0.9,CONTRACTOR,NONE,11,28.72,MODERATE,49.9,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000004,Varanasi-Ranchi-Kolkata Expressway — Stage-I Commissioning Phase,Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,National Corridors,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,COMPLETED,Commissioned,4631.39,4928.73,297.34,6.42,4804.25,100.0,97.47,-2.53,2018-11-01,2024-09-01,2025-08-01,70,81,11,2,10,10,9,0,0.9,NONE,NONE,11,6.42,LOW,30.8,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000005,Noida International Airport Jewar Phase-I — EPC Package II (Terminal & Marine Berths),Ministry of Civil Aviation,Airport Infrastructure Cell,Civil Aviation,Runway & Cargo,Andhra Pradesh,South,Airports Authority of India (AAI),Greenfield Construction,COMPLETED,Commissioned,1959.74,2145.33,185.59,9.47,2114.93,100.0,98.58,-1.42,2018-04-01,2023-04-01,2024-01-01,60,69,9,2,10,10,9,0,0.9,DESIGN_CHANGE,,9,9.47,LOW,32.0,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000006,Western Dedicated Freight Corridor — Section II (Km 45.50 to 112.00),Ministry of Railways,Project Development Directorate,Railways,High Speed Rail,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,COMPLETED,Commissioned,247.17,274.31,27.14,10.98,271.5,100.0,98.98,-1.02,2019-09-01,2022-05-01,2022-09-01,32,36,4,1,10,10,7,0,0.7,FOREST_CLEARANCE,NONE,4,10.98,LOW,22.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000007,Amritsar-Jamnagar Economic Corridor — Section II (Km 45.50 to 112.00),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,COMPLETED,Commissioned,150.0,187.2,37.2,24.8,183.07,100.0,97.79,-2.21,2022-01-01,2024-06-01,2025-04-01,29,39,10,2,10,10,10,0,1.0,DESIGN_CHANGE,NONE,10,24.8,MODERATE,47.5,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000008,Trans-Haryana Expressway — Package 3 (Design & Build EPC),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Uttar Pradesh,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DELAYED,Execution,387.42,429.73,42.31,10.92,331.31,74.7,77.1,2.4,2022-02-01,2027-09-01,2028-08-01,67,78,11,2,10,7,7,0,0.7,UTILITY_SHIFTING,NONE,11,10.92,LOW,31.9,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000009,Trans-Haryana Expressway — Civil Package 1 (Underground Tunnel),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,National Corridors,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,DELAYED,Execution,697.52,863.25,165.73,23.76,715.19,71.64,82.85,11.21,2022-12-01,2026-07-01,2028-01-01,43,61,18,3,10,6,7,0,0.7,ENVIRONMENTAL_CLEARANCE,NONE,18,23.76,HIGH,58.4,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000010,Ahmedabad-Dholera Expressway — Civil Package 1 (Underground Tunnel),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Uttar Pradesh,North,National Highways Authority of India (NHAI),Corridor Modernization,CRITICAL,Execution,3033.94,3764.51,730.57,24.08,2944.41,80.67,78.21,-2.46,2020-03-01,2026-02-01,2028-06-01,71,99,28,4,10,7,8,0,0.8,LAND_ACQUISITION,NONE,28,24.08,CRITICAL,67.9,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
